Model,Seed,epoch,train_loss,train_f1,dev_loss,dev_f1,lr,epoch_s
CharTransformer,7,3,0.188197,0.92746,0.252153,0.928153,0.001,4.33
CharTransformer,7,4,0.176719,0.931726,0.238055,0.933952,0.001,4.33
CharTransformer,7,5,0.154809,0.944395,0.229389,0.941386,0.001,4.21
CharTransformer,7,6,0.156465,0.940013,0.217075,0.941443,0.001,4.32
CharTransformer,7,7,0.138876,0.948697,0.209238,0.947318,0.001,4.36
CharTransformer,7,8,0.141651,0.947063,0.20297,0.94752,0.001,4.36
CharTransformer,7,9,0.140658,0.946617,0.199674,0.949728,0.001,4.26
CharTransformer,7,10,0.127712,0.953903,0.20196,0.951729,0.001,4.28
CharTransformer,7,11,0.123827,0.954598,0.196782,0.951066,0.001,4.3
CharTransformer,7,12,0.11714,0.959871,0.205744,0.954565,0.001,4.38
CharTransformer,7,13,0.11785,0.957632,0.19221,0.954606,0.001,4.37
CharTransformer,7,14,0.115103,0.956307,0.18819,0.953244,0.001,4.28
CharTransformer,7,15,0.106693,0.961903,0.189897,0.956022,0.001,4.27
CharTransformer,7,16,0.105587,0.964852,0.205019,0.956677,0.001,4.22
CharTransformer,7,17,0.101458,0.964129,0.188467,0.957296,0.001,4.28
CharTransformer,7,18,0.09037,0.969294,0.183025,0.961281,0.0005,4.26
CharTransformer,7,19,0.087577,0.969828,0.186244,0.960512,0.0005,4.28
CharTransformer,7,20,0.084126,0.971361,0.181618,0.959464,0.0005,4.25
CharTransformer,7,21,0.084453,0.971144,0.186309,0.958728,0.0005,4.36
CharTransformer,7,22,0.084442,0.970206,0.184912,0.959337,0.0005,4.26
CharTransformer,7,23,0.077903,0.973753,0.18498,0.961269,0.0005,4.19
CharTransformer,7,24,0.077296,0.973498,0.184917,0.9625,0.00025,4.29
CharTransformer,7,25,0.074203,0.975357,0.185397,0.962517,0.00025,4.3
CharTransformer,7,26,0.074238,0.974635,0.183489,0.962173,0.00025,4.23
CharTransformer,7,27,0.070135,0.976983,0.186532,0.962444,0.000125,4.3
CharTransformer,7,28,0.068909,0.977899,0.189557,0.962972,0.000125,4.29
